"","gene_name","AveExpr","logFC","pvalue","fdr","hit_annotation","LipidProbe"
"1","ECH1",24.2698604,2.664716975,3.7e-08,4.18e-05,"enriched hit","8-3 FA"
"2","VDAC2",22.82293116,1.74775987,4.74e-06,0.002674463,"enriched hit","8-3 FA"
"3","VDAC1",23.40203553,1.478023645,9e-05,0.03387479,"enriched hit","8-3 FA"
"4","PITPNB",23.49127191,1.276312876,0.000263,0.074320251,"enriched candidate","8-3 FA"
"5","ACOX1",24.43255941,0.928759296,0.000458,0.102903964,"enriched candidate","8-3 FA"
"6","ECHS1",23.89288135,0.766220518,0.000547,0.102903964,"enriched candidate","8-3 FA"
"7","HADHA",25.8667038,0.5132901,0.000906,0.129763341,"no hit","8-3 FA"
"8","PGAM1",24.25970211,-0.818936909,0.000987,0.129763341,"no hit","8-3 FA"
"9","AASS",23.39146695,0.488481384,0.001034429,0.129763341,"no hit","8-3 FA"
"10","HSDL2",24.11966805,0.610660174,0.002152005,0.242961312,"no hit","8-3 FA"
"11","IDH3B",23.13146069,0.395130792,0.002909066,0.277503638,"no hit","8-3 FA"
"12","STRAP",25.26821353,-0.556502353,0.002949552,0.277503638,"no hit","8-3 FA"
"13","CNBP",24.32863328,-0.580426035,0.003743519,0.308824581,"no hit","8-3 FA"
"14","PCNA",25.81747949,-0.479467868,0.004928287,0.308824581,"no hit","8-3 FA"
"15","TXNL1",23.70176853,-0.611739785,0.004982888,0.308824581,"no hit","8-3 FA"
"16","RBM17",22.85423754,0.576627878,0.005130038,0.308824581,"no hit","8-3 FA"
"17","ATP6V0D1",24.76842963,0.532065261,0.005372437,0.308824581,"no hit","8-3 FA"
"18","MDH2",26.87334092,0.404079053,0.005385523,0.308824581,"no hit","8-3 FA"
"19","POLR1B",22.29636305,0.512364949,0.005743956,0.308824581,"no hit","8-3 FA"
"20","PECR",24.03335448,0.527179406,0.005916822,0.308824581,"no hit","8-3 FA"
"21","PPP2CB",24.14355689,-0.342447723,0.00612445,0.308824581,"no hit","8-3 FA"
"22","RNPEP",22.56837216,-0.483599013,0.006160161,0.308824581,"no hit","8-3 FA"
"23","PSMA6",24.30855549,-0.693623971,0.006575074,0.308824581,"no hit","8-3 FA"
"24","TRAP1",26.26454583,0.351975507,0.006723108,0.308824581,"no hit","8-3 FA"
"25","ME2",24.41599884,0.416208315,0.006908263,0.308824581,"no hit","8-3 FA"
"26","CLTA",24.5878844,-0.576110154,0.007111992,0.308824581,"no hit","8-3 FA"
"27","ARF4",24.81118901,-0.327593633,0.007416352,0.310113369,"no hit","8-3 FA"
"28","HADH",23.76620884,0.374735946,0.008045176,0.312043119,"no hit","8-3 FA"
"29","RRM1",24.98540766,-0.507382577,0.008143809,0.312043119,"no hit","8-3 FA"
"30","ATP6V1H",23.72328091,0.382164978,0.008291668,0.312043119,"no hit","8-3 FA"
"31","GNA11|GNAQ",22.3883562,0.498940718,0.009970572,0.363121786,"no hit","8-3 FA"
"32","HSD17B10",24.62151853,0.36441802,0.010326633,0.364336503,"no hit","8-3 FA"
"33","DDX39A",24.09871572,0.516209597,0.011230056,0.374641965,"no hit","8-3 FA"
"34","POR",25.70913551,0.37769653,0.011716548,0.374641965,"no hit","8-3 FA"
"35","HMGCL",24.51228837,0.434072693,0.012250946,0.374641965,"no hit","8-3 FA"
"36","TARS",24.68536668,-0.429618714,0.012619329,0.374641965,"no hit","8-3 FA"
"37","FASN",26.77571339,-0.402497132,0.01380088,0.374641965,"no hit","8-3 FA"
